DATE,Capital Stock,Population,GDP Deflator,Nominal GDP
1990-12-31,38181148.0,250181.0,63.6315,5963.1445
1991-12-31,38943580.0,253530.0,65.7795,6158.12925
1992-12-31,39749632.0,256922.0,67.27674999999999,6520.32725
1993-12-31,40619356.0,260282.0,68.87275,6858.5585
1994-12-31,41576888.0,263455.0,70.3425,7287.2365
1995-12-31,42589128.0,266588.0,71.81975,7639.74925
1996-12-31,43715496.0,269714.0,73.133,8073.12175
1997-12-31,44934860.0,272958.0,74.39475,8577.5525
1998-12-31,46303760.0,276154.0,75.23225,9062.81675
1999-12-31,47787892.0,279328.0,76.29124999999999,9631.17175
2000-12-31,49329540.0,282398.0,78.02075,10250.952000000001
2001-12-31,50697112.0,285225.0,79.782,10581.929
2002-12-31,51889248.0,287955.0,81.02425,10929.108250000001
2003-12-31,53148096.0,290626.0,82.61875,11456.4495
2004-12-31,54536764.0,293262.0,84.8365,12217.19575
2005-12-31,56048848.0,295993.0,87.49849999999999,13039.197
2006-12-31,57539832.0,298818.0,90.201,13815.583
2007-12-31,58882184.0,301696.0,92.638,14474.227
2008-12-31,59951996.0,304543.0,94.4225,14769.861499999999
2009-12-31,60486876.0,307240.0,95.02275,14478.06675
2010-12-31,61035284.0,309839.0,96.1615,15048.97
2011-12-31,61657132.0,312295.0,98.161,15599.731749999999
2012-12-31,62424416.0,314725.0,99.9985,16253.97
2013-12-31,63225104.0,317099.0,101.7475,16843.19575
2014-12-31,64118472.0,319601.0,103.6485,17550.68775
2015-12-31,65053556.0,322113.0,104.68950000000001,18206.0235
2016-12-31,65971328.0,324609.0,105.73675,18695.10575
2017-12-31,66940280.0,326860.0,107.743,19477.3365
2018-12-31,68005632.0,328794.0,110.33475,20533.0575
2019-12-31,69059464.0,330513.0,112.31475,21380.976
